Sensitivity_tier1,Specificity_tier1,File,Sample,PR,Batch,DataQual,Platform
0.974426436539676,0.99238578680203,P_BGI_L3_B1_D5_1,D5,PolyA,P_BGI_L3_B1,HighQual,P_BGI
0.974005472532098,0.991759102588206,P_BGI_L3_B1_D5_2,D5,PolyA,P_BGI_L3_B1,HighQual,P_BGI
0.980740896653336,0.994359842075578,P_BGI_L3_B1_D5_3,D5,PolyA,P_BGI_L3_B1,HighQual,P_BGI
0.97453167754157,0.993075139437238,P_BGI_L6_B1_D5_1,D5,PolyA,P_BGI_L6_B1,HighQual,P_BGI
0.975005262050095,0.99288713417309,P_BGI_L6_B1_D5_2,D5,PolyA,P_BGI_L6_B1,HighQual,P_BGI
0.987371079772679,0.993012471015855,P_BGI_L6_B1_D5_3,D5,PolyA,P_BGI_L6_B1,HighQual,P_BGI
0.994264365396759,0.971203860374757,R_BGI_L3_B1_D5_1,D5,RiboZ,R_BGI_L3_B1,HighQual,R_BGI
0.993790780888234,0.96847778404462,R_BGI_L3_B1_D5_2,D5,RiboZ,R_BGI_L3_B1,HighQual,R_BGI
0.993369816880657,0.968101773516325,R_BGI_L3_B1_D5_3,D5,RiboZ,R_BGI_L3_B1,HighQual,R_BGI
0.9916333403494,0.967569091934574,R_BGI_L6_B1_D5_1,D5,RiboZ,R_BGI_L6_B1,HighQual,R_BGI
0.989896863818144,0.968415115623237,R_BGI_L6_B1_D5_2,D5,RiboZ,R_BGI_L6_B1,HighQual,R_BGI
0.990738791833298,0.971235194585448,R_BGI_L6_B1_D5_3,D5,RiboZ,R_BGI_L6_B1,HighQual,R_BGI
0.990738791833298,0.951275302375133,R_BGI_L7_B1_D5_1,D5,RiboZ,R_BGI_L7_B1,HighQual,R_BGI
0.983950747211113,0.957260136617159,R_BGI_L7_B1_D5_2,D5,RiboZ,R_BGI_L7_B1,HighQual,R_BGI
0.983687644706378,0.960174218211443,R_BGI_L7_B1_D5_3,D5,RiboZ,R_BGI_L7_B1,HighQual,R_BGI
0.982687855188381,0.992573792066178,P_ILM_L1_B1_D5_1,D5,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.97937276362871,0.99238578680203,P_ILM_L1_B1_D5_2,D5,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.979267522626815,0.993701823651062,P_ILM_L1_B1_D5_3,D5,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.95706167122711,0.991007081531616,P_ILM_L2_B1_D5_1,D5,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.952010103136182,0.991947107852353,P_ILM_L2_B1_D5_2,D5,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.952904651652284,0.992197781537883,P_ILM_L2_B1_D5_3,D5,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.944117027994106,0.979977439368302,P_ILM_L5_B1_D5_1,D5,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.941538623447695,0.980134110421758,P_ILM_L5_B1_D5_2,D5,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.94274889496948,0.98094879989973,P_ILM_L5_B1_D5_3,D5,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.94832666806988,0.992103778905809,P_ILM_L6_B1_D5_1,D5,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.944748474005473,0.992417121012722,P_ILM_L6_B1_D5_2,D5,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.975899810566197,0.990975747320925,P_ILM_L6_B1_D5_3,D5,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.98084613765523,0.989252365732907,P_ILM_L8_B1_D5_1,D5,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.973268785518838,0.988719684151156,P_ILM_L8_B1_D5_2,D5,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.972584719006525,0.987591652566272,P_ILM_L8_B1_D5_3,D5,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.98773942327931,0.969887823525725,R_ILM_L1_B1_D5_1,D5,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.988897074300147,0.96669173403522,R_ILM_L1_B1_D5_2,D5,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.987897284782151,0.968352447201855,R_ILM_L1_B1_D5_3,D5,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.960166280782993,0.961897599799461,R_ILM_L2_B1_D5_1,D5,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.988318248789729,0.978473397255123,R_ILM_L2_B2_D5_1,D5,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.959376973268786,0.959986212947296,R_ILM_L2_B1_D5_2,D5,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.987107977267944,0.978222723569593,R_ILM_L2_B2_D5_2,D5,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.964796884866344,0.960236886632826,R_ILM_L2_B1_D5_3,D5,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.986739633761313,0.981606818324246,R_ILM_L2_B2_D5_3,D5,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.959219111765944,0.90035721000188,R_ILM_L4_B1_D5_1,D5,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.963323510839823,0.914551607445008,R_ILM_L4_B1_D5_2,D5,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.969743211955378,0.933790812809425,R_ILM_L4_B1_D5_3,D5,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.984266470216796,0.972394560381024,R_ILM_L4_B2_D5_1,D5,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.983845506209219,0.970671178793006,R_ILM_L4_B2_D5_2,D5,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.982950957693117,0.975684652503603,R_ILM_L4_B2_D5_3,D5,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.977373184592717,0.981638152534938,R_ILM_L4_B3_D5_1,D5,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.975794569564302,0.978661402519271,R_ILM_L4_B3_D5_2,D5,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.978425594611661,0.983330199912264,R_ILM_L4_B3_D5_3,D5,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.977478425594612,0.959108855047941,R_ILM_L5_B1_D5_1,D5,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
