batch_pairs,consistent,batch.x,pairs.x,corr,batch.y,pairs.y,DataQual,seq_pro
R_ILM_L4_B2 M8/F7,0.982363040424536,R_ILM_L4_B2,M8/F7,0.985810074830022,R_ILM_L4_B2,M8/F7,HighQual,R_ILM
R_ILM_L4_B3 D6/D5,0.973433912758281,R_ILM_L4_B3,D6/D5,0.984427020026461,R_ILM_L4_B3,D6/D5,HighQual,R_ILM
R_ILM_L4_B3 F7/D5,0.96718931475029,R_ILM_L4_B3,F7/D5,0.979516380781314,R_ILM_L4_B3,F7/D5,HighQual,R_ILM
R_ILM_L4_B3 F7/D6,0.979162281624921,R_ILM_L4_B3,F7/D6,0.981449475360612,R_ILM_L4_B3,F7/D6,HighQual,R_ILM
R_ILM_L4_B3 M8/D5,0.964491362763916,R_ILM_L4_B3,M8/D5,0.978752579798275,R_ILM_L4_B3,M8/D5,HighQual,R_ILM
R_ILM_L4_B3 M8/D6,0.981578472096803,R_ILM_L4_B3,M8/D6,0.980847953080072,R_ILM_L4_B3,M8/D6,HighQual,R_ILM
R_ILM_L4_B3 M8/F7,0.979462875197472,R_ILM_L4_B3,M8/F7,0.983170496615965,R_ILM_L4_B3,M8/F7,HighQual,R_ILM
R_ILM_L5_B1 D6/D5,0.89637050418788,R_ILM_L5_B1,D6/D5,0.967604440229339,R_ILM_L5_B1,D6/D5,LowQual,R_ILM
R_ILM_L5_B1 F7/D5,0.905649388468259,R_ILM_L5_B1,F7/D5,0.9665257611508,R_ILM_L5_B1,F7/D5,LowQual,R_ILM
R_ILM_L5_B1 F7/D6,0.874448876758346,R_ILM_L5_B1,F7/D6,0.963256617767987,R_ILM_L5_B1,F7/D6,LowQual,R_ILM
R_ILM_L5_B1 M8/D5,0.756459593183068,R_ILM_L5_B1,M8/D5,0.947596871536745,R_ILM_L5_B1,M8/D5,LowQual,R_ILM
R_ILM_L5_B1 M8/D6,0.724747474747475,R_ILM_L5_B1,M8/D6,0.947040138042871,R_ILM_L5_B1,M8/D6,LowQual,R_ILM
R_ILM_L5_B1 M8/F7,0.702565726955971,R_ILM_L5_B1,M8/F7,0.954233429589928,R_ILM_L5_B1,M8/F7,LowQual,R_ILM
